no;abbr;long
0;.02;two cents worth
1;";S";Hmm? What did you say?
2;?4U;I have a question for you
3;@TEOTD;At the end of the day
4;^^;read message above
5;^5;High-five
6;^URS;Up yours
7;10M;Ten man  
8;10Q;Thank you
9;10X;Thanks
10;121 ; One-to-one 
11;14AA41;One for all, and all for one
12;1CE;Once
13;1DR;I wonder
14;1NAM;One in a million
15;1TG, 2TG;  number of items needed for win  
16;1UP;  extra life  
17;2B;To be
18;2day ; Today
19;2EZ;Too easy
20;2F4U;Too Fast For You
21;2G2BT;Too good to be true
22;2M2H;Too much too handle
23;2MI;Too much information
24;2MOR;Tomorrow
25;2MORO;Tomorrow
26;2moro ; Tomorrow
27;2N8;Tonight
28;2nite ; Tonight
29;2NTE;Tonight
30;4AO;For adults only
31;4COL; fucking out loud
32;4EAE;Forever and ever
33;4EVA;Forever
34;4NR;Foreigner
35;4SALE;For sale
36;4YEO FYEO;For Your Eyes Only
37;6Y;Sexy
38;7K;Sick
39;A/N;Author’s note
40;A/S/L;Age/sex/location
41;A3;Anytime, anywhere, anyplace
42;AA;Alcoholics Anonymous
43;AAB;Average At Best
44;AAC;Apple Audio Compression
45;AAF;As a friend
46;AAK;Alive And Kicking
47;AAMOF;As a matter of fact
48;AAMOI;As a matter of interest
49;AAP;Always a pleasure
50;AAR;At any rate
51;AARP;American Association of Retired Persons
52;AAS;Alive and smiling
53;AASHTA;As always, Sheldon has the answer 
54;AAT;And Another Thing At All Times
55;AATK;Always at the keyboard
56;AAWY;And Also With You
57;AAYF;As always, your friend
58;AAYF ; As Always, Your Friend
59;ABBR;  abbreviation
60;ABC;American Born Chinese
61;ABD;Already been done
62;ABDC;America’s Best Dance Crew (TV show)
63;ABF;All But Face
64;ABFAB;Absolutely Fabulous
65;ABG;Asian Baby Girl
66;ABH;Actual Bodily Harm
67;ABP;Already Been Posted
68;ABT;About
69;ABT2;  ‘About to’
70;ABTA;  Good-bye (signoff)
71;ABU;Anyone but (Manchester) United
72;ABU;All bugged up
73;AC;Air Conditioning Alternating Current
74;ACC;Anyone can come
75;ACD;ALT / CONTROL / DELETE
76;ACDNT;Accident  
77;ACE;  marijuana cigarette
78;ACK;Acknowledge
79;ACLU;American Civil Liberties Union
80;ACME;A Company that Makes Everything
81;ACP;Automatic Colt Pistol
82;ACPT;Accept  
83;ACQSTN;Acquisition  
84;ACTA;Anti-Counter fucking Trade Agreement
85;ACU;Army Combat Uniform
86;AD;Anno Domini (in the year of our Lord)
87;ADAD;Another day, another dollar
88;ADBB;All done, bye-bye
89;ADD;Attention Deficit Disorder
90;ADDY;Address
91;ADED;All Day Every Day
92;ADGTH;All Dogs Go To Heaven
93;ADIH;Another day in hell
94;ADIP;Another day in paradise
95;ADL;All Day Long
96;ADMIN;Administrator
97;ADMINR;Administrator  
98;ADN;Any day now
99;ADR;All Due Respect
100;ADR;Address
101;ADS;Aim(ing) Down Sights
102;ADSL;Asymmetric Digital Subscriber Line
103;ADTR;A Day To Remember (band)
104;AE;American Eagle (clothing)
105;AEAE;And Ever And Ever
106;AEAP;As early as possible
107;AF;April Fools
110;AFAIA;As Far As I’m Aware
111;AFAIAA;As far as I am aware
112;AFAIAC;As Far As I Am Concerned
113;AFAIC;As far as I am concerned
114;AFAICS;As Far As I Can See
115;AFAICT;As Far As I Can Tell
116;AFAIK;As far as I know
